spec,lon,lat
SPEC,-101.596042,17.484026
SPEC,-91.926708,17.402959
SPEC,-91.385238,17.642058
SPEC,-92.404178,17.616043
SPEC,-95.003877,17.6982
SPEC,-96.947069,17.705628
SPEC,-92.958299,17.948502
SPEC,-91.924104,17.922165
SPEC,-96.202767,17.894272
SPEC,-102.056217,17.880486
SPEC,-88.984217,17.919925
SPEC,-94.449393,18.186355
SPEC,-102.64299,18.06817
SPEC,-91.018042,18.117471
SPEC,-100.706035,18.346101
SPEC,-101.737126,18.326311
SPEC,-95.141853,18.220697
SPEC,-103.324516,18.351338
SPEC,-93.291504,18.34514
SPEC,-88.381734,18.441444
SPEC,-95.575229,18.476369
SPEC,-92.778743,18.448016
SPEC,-87.393759,18.560522
SPEC,-95.130167,18.704774
SPEC,-91.660564,18.787524
SPEC,-92.182953,18.648726
SPEC,-103.877003,18.847867
SPEC,-91.169641,18.857051
SPEC,-99.208196,18.869018
SPEC,-101.62512,18.849343
SPEC,-96.299827,18.888085
SPEC,-95.908698,19.144577
SPEC,-104.287933,19.126989
SPEC,-98.203827,19.128852
SPEC,-104.79994,19.016642
SPEC,-96.683269,19.325604
SPEC,-103.735974,19.32315
SPEC,-99.629538,19.20217
SPEC,-99.009341,19.362057
SPEC,-105.02254,19.513298
SPEC,-100.255043,19.433416
SPEC,-96.395874,19.732574
SPEC,-90.608677,19.749541
SPEC,-99.157994,19.987218
SPEC,-105.238989,19.918362
SPEC,-86.889484,20.263042
SPEC,-87.421741,20.258715
SPEC,-105.451612,20.412115
SPEC,-97.140107,20.541528
SPEC,-87.15306,20.662262
SPEC,-88.322199,20.662109
SPEC,-103.295543,20.739627
SPEC,-101.355811,20.719502
SPEC,-105.502236,20.917567
SPEC,-97.599319,20.871487
SPEC,-89.740574,21.098019
SPEC,-86.668415,21.17297
SPEC,-104.821386,21.421663
SPEC,-97.437433,21.724849
SPEC,-105.552449,21.706372
SPEC,-105.040897,21.891963
SPEC,-98.945717,21.968752
SPEC,-105.432224,22.172544
SPEC,-97.949757,22.247954
SPEC,-105.782092,22.515646
SPEC,-105.772388,22.976663
SPEC,-109.774687,23.023772
SPEC,-106.296788,23.114953
SPEC,-106.34988,23.645105
SPEC,-96.728374,18.69094
SPEC,-90.52361,19.09306
SPEC,-92.89917,17.15917
SPEC,-86.177011,12.0198
SPEC,-85.826325,11.437155
SPEC,-87.050274,12.469341
SPEC,-83.052247,12.173178
SPEC,-85.048069,11.034156
SPEC,-83.712209,10.940752
SPEC,-84.339015,10.971907
SPEC,-79.84648,9.152102
SPEC,-79.70418,8.636034
